RefID,Project,Location,Est Cost $M,2022-23,2023-24,0-5,5-10,0-10,0-15,10-15,15+,Challenge / Opportunity,log_cost,Region_Presented,Region_Big Rivers,Region_Central Australia,Region_East Arnhem,Region_Greater Darwin,Region_Territory Wide,Region_Top End Rural,Sub Sector_Agribusiness,Sub Sector_Air Transport,Sub Sector_Aquaculture,Sub Sector_Arts Trail,Sub Sector_Aviation Technology,Sub Sector_Civic Services,Sub Sector_Cotton,Sub Sector_Creative Industries,Sub Sector_Cruise Industry,Sub Sector_Cultural Experiences,Sub Sector_Development and Maintenance of Facilities,Sub Sector_Digital Industries,Sub Sector_Digital and Telecommunications Infrastructure,Sub Sector_Drive Market,Sub Sector_Education and Training,Sub Sector_Electricity,Sub Sector_Festivals and Major Events,Sub Sector_Fuel Storage,Sub Sector_Green and Blue Infrastructure,Sub Sector_Health,Sub Sector_Heritage Trails,Sub Sector_Horticulture,Sub Sector_Housing,Sub Sector_Industrial Subdivisions,Sub Sector_Intermodal Hubs,Sub Sector_Justice and Public Safety,Sub Sector_Lifestyle,Sub Sector_Manufacturing,Sub Sector_Marine Infrastructure,Sub Sector_Meeting Places,Sub Sector_Mining,Sub Sector_National Critical Care and Trauma Response,"Sub Sector_Parks, Reserves, Waterways","Sub Sector_Rail, Roads and Bridges",Sub Sector_Residential Subdivisions,Sub Sector_Retail and Business,Sub Sector_Space,Sub Sector_Sport and Recreation,"Sub Sector_Sporting, Recreation, Lifestyle",Sub Sector_Superyacht Industry,Sub Sector_Tourism,Sub Sector_Training Facilities,Sub Sector_Transport and Logistics,Sub Sector_Unlock the potential of the Territory's regions,Sub Sector_Waste Management,Sub Sector_Water,Sub Sector_Work stay play,Enabling Infrastructure_Other,Enabling Infrastructure_Social Infrastructure,Enabling Infrastructure_Transport and Logistics,Enabling Infrastructure_Utilities,Industry Sector_Civic Services,Industry Sector_Defence and Security,Industry Sector_Education and Training,Industry Sector_Emerging Industries,Industry Sector_Health,Industry Sector_Housing,Industry Sector_Justice and Public Safety,Industry Sector_Land,Industry Sector_Lifestyle,Industry Sector_Resources,"Industry Sector_Sporting, Recreation, Lifestyle",Industry Sector_Tourism,Industry Sector_Transport and Logistics,Industry Sector_Utilities,Category_P
0p5,Nightcliff Beach redevelopment ,"-12.383831, 130.848479",8.0,2.6,3.0,,,,,,,"Strengthen a healthy, active lifestyle by improving recreation opportunities and enhance visitor experience",0.9030899869919435,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1138.2,Nightcliff Jetty replacement ,"-12.383831, 130.848479",12.0,2.6,3.0,,,,,,,Replace ageing infrastructure to improve recreational opportunities and enhance visitor experience,1.0791812460476249,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2n8,Nightcliff Mall Masterplan - outcomes,DICKWARD Drive Fannie Bay NT Australia,5.3,2.6,3.0,,,,,,,"Enhance infrastructure to support accessibility, connectivity, safety and amenity",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0p13,Nightcliff Oval Master Plan - full playing surface refurbishment and facilities upgrades,"-12.460834, 130.84444",3.0,2.6,3.0,,,,,,,Master planned infrastructure to support growth in sport involvement,0.47712125471966244,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2n10,Nightcliff Oval Master Plan - new car parking and seating with shade,"-12.460834, 130.84444",2.0,2.6,3.0,,,,,,,Master planned infrastructure to support growth in sport involvement,0.3010299956639812,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1355,Old Bynoe Road - bridging Darwin River ,"Old Bynoe Road, NT Australia",3.5,2.6,3.0,,,,,,,"Improve all weather access to support accessibility, growth and community safety",0.5440680443502757,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1354,Old Bynoe Road - bridging Fly Creek,"Old Bynoe Road, NT Australia",3.5,2.6,3.0,,,,,,,"Improve all weather access to support accessibility, growth and community safety",0.5440680443502757,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8o15.1,Palmerston - aged care facilities ,"-12.4792, 130.985",5.3,2.6,3.0,,,,,,,"Provide a variety of contemporary, affordable and sustainable housing options for older Territorians",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
162,Palmerston - expand oral health services,-12.4794 130.9898,4.13,2.6,3.0,,,,,,,Strengthen liveability by improving infrastructure to support oral health services,0.615950051656401,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
161,Palmerston - new ambulance station,"-12.4759, 131.0037",7.0,2.6,3.0,,,,,,,Strengthen liveability by improving infrastructure for health support services,0.8450980400142568,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2f32,Palmerston arts and cultural performing arts centre,Palmerston NT Australias,5.3,2.6,3.0,,,,,,,"Value and expand access to cultural activities, increase visitation opportunities and improve visitor experience",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
164,Palmerston Health Precinct - refurbish Super Clinic,-12.4794 130.9898,4.0,2.6,3.0,,,,,,,Strengthen liveability by improving infrastructure to support health services,0.6020599913279624,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1138.5,Palmerston new ferry pontoon boarding point,"-12.4792, 130.985",23.0,2.6,3.0,,,,,,,Support economic development by improving all weather access and goods handling facilities,1.3617278360175928,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
159,Palmerston renal services expansion - 30 bed renal patient accommodation unit,-12.4794 130.9898,18.0,2.6,3.0,,,,,,,Strengthen liveability by improving infrastructure to support renal health services,1.255272505103306,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2n6,Parap Village Masterplan - outcomes,"-12.434, 130.8448",14.0,2.6,3.0,,,,,,,"Enhance infrastructure to support accessibility, connectivity, safety and amenity",1.146128035678238,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2p23,Peter McAulay Centre - new local and international joint Asia Pacific Emergency Response Training Complex,"-12.432, 130.9205",25.0,2.6,3.0,,,,,,,Support the continued delivery of quality police services ,1.3979400086720377,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9l01,"Pinelands Industrial Precinct access - stage 2
","-12.454358,130.964220",27.0,2.6,3.0,,,,,,,Provide better heavy vehicle access into Pinelands Industrial Precinct,1.4313637641589874,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2n9,Progress Drive / Nightcliff Road - upgrade to dual lane roundabout,DICKWARD Drive Fannie Bay NT Australia,5.3,2.6,3.0,,,,,,,"Increase road capacity, safety, support accessibility, connectivity and amenity",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2f30,Regional Creative Industries Hub,"-12.460834, 130.84444",5.3,2.6,3.0,,,,,,,Grow businesses and develop supply chains in the creative industries,0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
196,Replace the Tamarind Centre,"-12.4320, 130.8484",35.0,2.6,3.0,,,,,,,Strengthen liveability by improving infrastructure to support mental health services,1.5440680443502757,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1178,Roystonea Avenue - complete road to Elrundie Avenue,Roystonea Avenue Palmerston City NT Australia,12.0,2.6,3.0,,,,,,,Provide increased north-south capacity to cater for residential development,1.0791812460476249,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2n20,Shoal Bay Waste Management Facility - new leachate pond,"-12.39524, 130.92403",8.0,2.6,8.0,,,,,,,Support improved waste management and recycling processes,0.9030899869919435,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2n19,Shoal Bay Waste Management Facility - stage 2 expansion,"-12.39524, 130.92403",12.0,2.6,12.0,,,,,,,Support improved waste management and recycling processes,1.0791812460476249,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1187.1,Snell Street extension to Tiger Brennan Drive,Snell Street NT Australia,200.0,2.6,3.0,,,,,,,"Increase road capacity, safety, support accessibility, connectivity and amenity",2.3010299956639813,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0c12,Spencer Road - floodway upgrade,"-12.8164, 130.9643",0.6,2.6,3.0,,,,,,,"Support connectivity and improve all weather access to improve community safety, accessibility and support future growth",-0.2218487496163564,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
345,Stokes Hill Wharf - new retail infrastructure and rectification works,"-12.470662, 130.848779",5.0,2.6,5.0,,,,,,,Improve the economic viability of the Waterfront precinct,0.6989700043360189,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2f29,Textile Printing and Fashion Manufacturing Hub,"-12.460834, 130.84444",5.3,2.6,3.0,,,,,,,"Enable economic development by improving supply chains, capturing value, and providing a centralised platform from which to deliver a broader range of goods and services within the NT",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8x06,The Heights Durack - staged subdivision,"-12.4725, 130.9745",160.0,2.6,14.5,,,,,,,Enable economic development and population growth,2.2041199826559246,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0c15,Thorngate Road pavement upgrade ,"-12.539878, 131.056161",1.5,2.6,3.0,,,,,,,"Road improvement to increase safety, support accessibility, connectivity and amenity",0.17609125905568124,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2l9,Tiger Brennan Drive - intersection grade separations at various locations,"-12.4725, 130.9745",5.3,2.6,3.0,,,,,,,"Increase road capacity, safety, support accessibility, connectivity and amenity",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2n21,Tourism Masterplan - outcomes,"-15.200,129.0811",5.3,2.6,3.0,,,,,,,Activate Cullen Bay to East Point Darwin Harbour area ,0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1195,Trower Road - capacity improvements and upgrades,Trower Road NT Australia,10.0,2.6,3.0,,,,,,,"Increase road capacity, safety, support accessibility, connectivity and amenity",1.0,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1083.2,Undergrounding power to schools and suburbs,"-12.460834, 130.84444",5.3,2.6,3.0,,,,,,,"Continue to build a resilient power network, against cyclones and monsoons, for businesses, schools and homes",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2o7,Unite Cable System - Inligo subsea optical cable,"-12.460834, 130.84444",700.0,2.6,3.0,,,,,,,"The Territory’s third cable connection to Singapore, with additional links to Indonesia, Timor Leste, Guam, Japan and the US",2.845098040014257,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1191,Vanderlin Drive - capacity improvements and upgrades,Vanderlin Drive NT Australia,37.0,2.6,3.0,,,,,,,Provide north-south capacity improvement for access from the northern suburbs,1.568201724066995,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8c05,Virginia Road - bridge over Wells Creek,Virginia Road Wells Creek NT Australia,0.75,2.6,3.0,,,,,,,"Increase road capacity, safety, support accessibility, connectivity and amenity",-0.12493873660829995,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2L14,Weddell Freeway,"-12.4382, 130.8496",5.3,2.6,3.0,,,,,,,"Improve access from the Darwin CBD to Noonamah, Berry Springs and Weddell, and connect to future strategic commercial and industrial including Middle Arm Sustainable Development Precinct",0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2x18,Weddell Industrial Hub - infrastructure to support development ,"-12.6173, 131.0066",5.3,2.6,3.0,,,,,,,Enable economic development and population growth by increasing land availability,0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2t16,Weddell Power Station upgrades and replacement works,"-12.6173, 131.0066",43.0,2.6,4.0,,,,,,,"Asset renewal to support growth, compliance and improve service efficiency",1.6334684555795864,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2x19,Weddell Renewable Energy Hub stage 2,"-12.6173, 131.0066",5.3,2.6,3.0,,,,,,,Enable economic development and population growth,0.724275869600789,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8j05,Women's Correctional Facility - separate purpose built facility,"-12.44717, 131.030455",120.0,0.6,60.0,,,,,,,Meet community expectation and needs through additional correctional infrastructure,2.0791812460476247,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1185,Woodlake Boulevard - upgrade Kirkland Road intersection,Woodlake Blvd Palmerston City NT Australia,3.0,2.6,3.0,,,,,,,"Enhance road safety, accessibility, connectivity and amenity",0.47712125471966244,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2n12,Woodroffe Oval - upgrade to suit AFL,"-12.5026, 130.9808",5.4,2.6,3.0,,,,,,,"Strengthen a healthy, active lifestyle by improving recreation opportunities and enhance visitor experience",0.7323937598229685,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9e31,Wulagi Primary School - upgrades for accessibility ,Wulagi Primary School NT Australia,0.5,2.6,3.0,,,,,,,Contemporary educational infrastructure to support students with additional needs,-0.3010299956639812,Greater Darwin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0m1,Coomalie Community Government council infrastructure - solar installations,"-13.0873, 131.0472",1.0,2.6,3.0,,,,,,,Improve liveability and improve energy efficiency by increasing renewable energy ,0.0,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2z4,Across the region - accommodation cabins,"-14.2404, 129.5205",0.8,2.6,3.0,,,,,,,"Support council operations, community services, generate local jobs and skills training ",-0.09691001300805639,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2e22,Across the region - Remote School Renewal Program,"-14.2404, 129.5205",5.3,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.724275869600789,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2z3,Across the region - upgrade access road network to Homelands,"-14.370538, 129.76296",2.0,2.6,3.0,,,,,,,"Enhance infrastructure to support accessibility, connectivity, safety and amenity",0.3010299956639812,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9p10,Adelaide River - new police complex,"-13.1775, 131.1697",15.0,2.6,3.0,,,,,,,Support the continued delivery of quality police services in remote communities,1.1760912590556813,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2p21,Adelaide River fire station ,"-13.1775, 131.1697",5.0,2.6,3.0,,,,,,,Strengthen emergency support services in remote communities,0.6989700043360189,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9e27,Adelaide River School - new preschool building,"-13.1775, 131.1697",2.0,2.6,3.0,,,,,,,Contemporary educational infrastructure to support growth in early years learning enrolments,0.3010299956639812,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1338,Adelaide River War Cemetery - construct car park and upgrade Memorial Terrace,"-13.1775, 131.1697",1.8,2.6,3.0,,,,,,,Improve recreation opportunities and enhance visitor experience,0.25527250510330607,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9e4,Batchelor Area School - upgrade camp dormatories,"-13.0873, 131.0472",1.5,2.6,3.0,,,,,,,Upgrade ageing infrastructure to support the continued delivery of quality education,0.17609125905568124,Top End Rural,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
